epoch,train_acc,test_acc
0,9.133333333333333,9.333333333333334
1,26.200000000000003,23.666666666666668
2,30.599999999999998,27.333333333333332
3,33.6,28.666666666666668
4,34.53333333333333,31.0
5,35.8,31.333333333333336
6,36.733333333333334,32.0
7,37.666666666666664,31.666666666666664
8,38.2,31.666666666666664
9,39.2,30.666666666666664
10,39.4,31.0
11,39.666666666666664,31.333333333333336
12,40.06666666666667,31.666666666666664
13,40.0,31.666666666666664
14,40.6,31.0
15,41.0,31.333333333333336
16,40.86666666666667,31.333333333333336
17,41.4,31.0
18,42.0,31.333333333333336
19,42.199999999999996,30.666666666666664
20,42.66666666666667,30.333333333333336
21,43.2,30.666666666666664
22,44.0,31.666666666666664
23,44.266666666666666,32.33333333333333
24,44.6,32.666666666666664
25,44.800000000000004,32.0
26,44.93333333333333,32.0
27,45.06666666666666,32.0
28,45.13333333333333,31.666666666666664
29,45.33333333333333,31.333333333333336
30,45.733333333333334,31.333333333333336
31,46.0,31.333333333333336
32,46.06666666666667,31.333333333333336
33,46.33333333333333,31.333333333333336
34,46.53333333333333,31.333333333333336
35,46.53333333333333,31.333333333333336
36,46.800000000000004,31.333333333333336
37,46.666666666666664,31.666666666666664
38,46.800000000000004,31.333333333333336
39,46.733333333333334,31.333333333333336
40,46.86666666666667,31.666666666666664
41,47.13333333333333,31.333333333333336
42,47.266666666666666,31.333333333333336
43,47.333333333333336,31.333333333333336
44,47.46666666666667,31.333333333333336
45,47.733333333333334,31.666666666666664
46,47.733333333333334,31.666666666666664
47,47.8,31.666666666666664
48,48.0,31.666666666666664
49,48.13333333333333,31.666666666666664
