epoch,train_acc,test_acc
0,6.533333333333332,7.000000000000001
1,50.6,26.0
2,56.13333333333333,28.999999999999996
3,59.93333333333334,29.666666666666668
4,61.4,29.333333333333332
5,62.6,29.333333333333332
6,64.06666666666668,29.666666666666668
7,65.06666666666666,28.666666666666668
8,65.66666666666666,28.999999999999996
9,66.2,28.000000000000004
10,66.60000000000001,28.333333333333332
11,66.86666666666666,28.333333333333332
12,67.46666666666667,27.666666666666668
13,67.80000000000001,27.666666666666668
14,68.46666666666667,27.333333333333332
15,68.66666666666667,27.0
16,69.13333333333334,27.0
17,69.33333333333334,27.0
18,69.86666666666666,27.0
19,70.19999999999999,27.333333333333332
20,70.39999999999999,27.333333333333332
21,70.46666666666667,27.0
22,70.73333333333333,26.666666666666668
23,71.13333333333334,26.666666666666668
24,70.93333333333334,26.333333333333332
25,71.13333333333334,26.666666666666668
26,71.26666666666667,26.666666666666668
27,71.46666666666667,26.666666666666668
28,71.73333333333333,26.666666666666668
29,71.66666666666667,26.666666666666668
30,71.73333333333333,27.0
31,71.86666666666667,27.0
32,72.06666666666666,26.666666666666668
33,72.13333333333334,27.0
34,72.0,26.666666666666668
35,72.46666666666667,26.666666666666668
36,72.46666666666667,26.666666666666668
37,72.6,26.666666666666668
38,72.73333333333333,26.666666666666668
39,72.73333333333333,26.666666666666668
40,72.73333333333333,26.666666666666668
41,72.86666666666667,26.666666666666668
42,72.73333333333333,26.666666666666668
43,73.0,26.666666666666668
44,73.13333333333333,26.666666666666668
45,73.26666666666667,26.666666666666668
46,73.13333333333333,26.666666666666668
47,73.46666666666667,26.666666666666668
48,73.13333333333333,27.0
49,73.33333333333333,26.333333333333332
