epoch,train_acc,test_acc
0,11.066666666666666,14.000000000000002
1,92.2,83.33333333333334
2,95.66666666666667,81.66666666666667
3,97.06666666666666,80.66666666666666
4,98.2,80.33333333333333
5,99.2,80.33333333333333
6,99.4,80.33333333333333
7,99.6,80.33333333333333
8,99.86666666666667,80.66666666666666
9,100.0,80.66666666666666
10,100.0,80.66666666666666
11,100.0,80.33333333333333
12,100.0,80.33333333333333
13,100.0,80.33333333333333
14,100.0,80.66666666666666
15,100.0,80.66666666666666
16,100.0,80.33333333333333
17,100.0,80.33333333333333
18,100.0,80.33333333333333
19,100.0,80.0
20,100.0,80.0
21,100.0,80.0
22,100.0,80.0
23,100.0,80.0
24,100.0,80.0
25,100.0,80.33333333333333
26,100.0,80.33333333333333
27,100.0,80.33333333333333
28,100.0,80.33333333333333
29,100.0,80.33333333333333
30,100.0,80.33333333333333
31,100.0,80.33333333333333
32,100.0,80.33333333333333
33,100.0,80.33333333333333
34,100.0,80.33333333333333
35,100.0,80.33333333333333
36,100.0,80.33333333333333
37,100.0,80.33333333333333
38,100.0,80.33333333333333
39,100.0,80.33333333333333
40,100.0,80.33333333333333
41,100.0,80.33333333333333
42,100.0,80.33333333333333
43,100.0,80.33333333333333
44,100.0,80.33333333333333
45,100.0,80.33333333333333
46,100.0,80.33333333333333
47,100.0,80.33333333333333
48,100.0,80.33333333333333
49,100.0,80.33333333333333
