epoch,train_acc,test_acc
0,7.333333333333333,6.0
1,24.53333333333333,23.0
2,27.866666666666667,24.0
3,29.4,24.333333333333336
4,29.799999999999997,24.333333333333336
5,30.266666666666666,23.333333333333332
6,30.466666666666665,24.333333333333336
7,30.533333333333335,25.333333333333336
8,31.0,25.333333333333336
9,31.533333333333335,26.666666666666668
10,32.33333333333333,27.0
11,32.666666666666664,27.333333333333332
12,33.0,27.666666666666668
13,33.46666666666667,27.666666666666668
14,34.2,27.666666666666668
15,34.66666666666667,27.333333333333332
16,35.266666666666666,27.0
17,35.4,28.000000000000004
18,35.66666666666667,27.666666666666668
19,35.66666666666667,27.666666666666668
20,35.8,27.666666666666668
21,36.06666666666667,27.333333333333332
22,36.199999999999996,27.666666666666668
23,36.4,27.333333333333332
24,36.6,27.333333333333332
25,36.666666666666664,27.333333333333332
26,36.8,27.333333333333332
27,37.06666666666666,27.0
28,37.266666666666666,26.666666666666668
29,37.46666666666666,26.666666666666668
30,37.4,26.333333333333332
31,37.46666666666666,26.333333333333332
32,37.46666666666666,26.333333333333332
33,37.46666666666666,26.333333333333332
34,37.53333333333334,26.666666666666668
35,37.53333333333334,27.0
36,37.6,27.0
37,37.6,27.0
38,37.8,27.0
39,37.86666666666667,27.0
40,37.93333333333334,27.333333333333332
41,37.93333333333334,27.333333333333332
42,38.0,27.333333333333332
43,38.0,27.0
44,38.06666666666666,27.333333333333332
45,38.2,27.333333333333332
46,38.13333333333333,27.333333333333332
47,38.2,27.333333333333332
48,38.2,27.333333333333332
49,38.266666666666666,27.333333333333332
