epoch,train_acc,test_acc
0,8.0,6.666666666666667
1,10.733333333333334,8.333333333333332
2,15.733333333333333,14.666666666666666
3,17.533333333333335,18.0
4,18.6,17.0
5,18.8,17.666666666666668
6,19.53333333333333,17.333333333333336
7,19.400000000000002,16.333333333333332
8,19.866666666666667,16.333333333333332
9,20.066666666666666,18.0
10,20.066666666666666,18.333333333333332
11,20.599999999999998,18.333333333333332
12,20.533333333333335,18.333333333333332
13,20.266666666666666,18.333333333333332
14,20.333333333333332,19.0
15,20.533333333333335,19.0
16,20.533333333333335,19.0
17,20.733333333333334,19.0
18,20.666666666666668,18.666666666666668
19,20.599999999999998,19.0
20,20.466666666666665,19.0
21,20.599999999999998,19.0
22,20.666666666666668,19.0
23,20.8,19.333333333333332
24,20.733333333333334,19.0
25,20.933333333333334,19.0
26,21.0,19.0
27,21.0,19.0
28,21.0,19.0
29,21.0,19.0
30,21.066666666666666,19.0
31,21.066666666666666,19.0
32,21.0,19.0
33,21.133333333333333,19.0
34,21.066666666666666,19.0
35,21.133333333333333,19.0
36,21.2,19.0
37,21.333333333333336,19.0
38,21.333333333333336,19.0
39,21.266666666666666,19.333333333333332
40,21.46666666666667,19.666666666666664
41,21.666666666666668,20.0
42,21.866666666666667,20.0
43,22.0,20.0
44,22.133333333333333,20.0
45,22.2,19.666666666666664
46,22.333333333333332,19.666666666666664
47,22.400000000000002,19.666666666666664
48,22.466666666666665,19.666666666666664
49,22.6,19.666666666666664
